Unnamed: 0,八草キャンパス,自由ヶ丘キャンパス,Unnamed: 1,Unnamed: 2
,1号館前,セントラルガーデン,本館玄関脇,
1.0,水,,,
2.0,木,熊猫厨房(中華ホットロール),パインリーフ(クレープ),
3.0,金,,,
4.0,土,,,
5.0,日,,,
6.0,月,アルス(インドカレー),バターの森2号車(クロワッサン),
7.0,火,Take Eat EZY(丼),金しゃち(唐揚げ),
8.0,水,YAMA BAL(ホットサンド),パインリーフ(クレープ),キッチンカーナ(たこ焼き)
9.0,木,サニーズ(クレープ),カッパドキア(ケバブ),
10.0,金,金しゃち(唐揚げ),MYきっちん(揚げパン),
11.0,土,,,
12.0,日,,,
13.0,月,,,
14.0,火,UNO express(タコス),金しゃち(唐揚げ),
15.0,水,キッチンカーナ(たこ焼き),いしいも(焼き芋),からあげ178(からあげ丼)
16.0,木,ブラザー69(バーガー),miu crepe cafe(クレープ),
17.0,金,金しゃち(唐揚げ),MYきっちん(揚げパン),
18.0,土,,,
19.0,日,,,
20.0,月,シーハウス(韓国料理),クレープショップSARU(クレープ),
21.0,火,サニーズ(クレープ),金しゃち(唐揚げ),
22.0,水,YAMA BAL(ホットサンド),ハニーエイト(ハニーポテト),アルス(インドカレー)
23.0,木,,,
24.0,金,金しゃち(唐揚げ),miu crepe cafe(クレープ),
25.0,土,,,
26.0,日,,,
27.0,月,MYきっちん(揚げパン),ポポ(メロンパン),
28.0,火,粉もの本舗 kurukurku(たこ焼き),金しゃち(唐揚げ),
29.0,水,che'rie(ホットドック),パインリーフ(クレープ),ハニーエイト(ハニーポテト)
30.0,木,Take Eat EZY(丼),まんぷくデイズ(揚げパン),
